epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10442.6,1.16166,0.65134,1.33555,0.9149,0.90091,0.95215,0.64667,1.15303,0.84947,1.4079,0.000971133,0.000971133,0.000971133
43,10674.3,1.15366,0.63499,1.32953,0.91782,0.89583,0.95142,0.64002,1.15509,0.87201,1.41145,0.000932325,0.000932325,0.000932325
44,10906,1.15156,0.64137,1.33063,0.91579,0.89694,0.95187,0.64402,1.14945,0.86195,1.40984,0.000893638,0.000893638,0.000893638
45,11138.6,1.15243,0.63592,1.33062,0.91441,0.90051,0.95233,0.64777,1.14182,0.84419,1.40155,0.00085513,0.00085513,0.00085513
46,11372.6,1.13886,0.63129,1.32182,0.91588,0.89733,0.95182,0.64681,1.15373,0.85107,1.42038,0.000816861,0.000816861,0.000816861
47,11604.2,1.14821,0.62863,1.32363,0.91659,0.90181,0.95299,0.64814,1.1432,0.8338,1.4092,0.000778889,0.000778889,0.000778889
48,11835.9,1.14436,0.63297,1.32803,0.91169,0.90059,0.95175,0.64688,1.14528,0.84477,1.40401,0.000741274,0.000741274,0.000741274
49,12067.2,1.13529,0.62348,1.32632,0.91852,0.89734,0.95248,0.64908,1.13606,0.83423,1.40521,0.000704073,0.000704073,0.000704073
50,12298.7,1.12821,0.61384,1.32208,0.91639,0.90131,0.95438,0.64933,1.14129,0.8267,1.4016,0.000667344,0.000667344,0.000667344
51,12532,1.12946,0.62433,1.32056,0.91954,0.89953,0.95518,0.65198,1.12754,0.82071,1.38532,0.000631143,0.000631143,0.000631143
52,12767.1,1.12635,0.61859,1.31484,0.91495,0.90488,0.95427,0.65188,1.13363,0.81798,1.39017,0.000595527,0.000595527,0.000595527
53,12999.8,1.12705,0.61277,1.31796,0.91508,0.8992,0.95163,0.64755,1.13942,0.8272,1.4056,0.000560549,0.000560549,0.000560549
54,13231.6,1.12239,0.60476,1.31249,0.91368,0.90258,0.95283,0.64956,1.12829,0.81913,1.39318,0.000526265,0.000526265,0.000526265
55,13463.3,1.12034,0.60083,1.31289,0.91537,0.90259,0.95309,0.65131,1.12423,0.81108,1.39069,0.000492726,0.000492726,0.000492726
56,13694.9,1.10932,0.61066,1.30288,0.91556,0.90069,0.95316,0.64881,1.12996,0.81566,1.39134,0.000459985,0.000459985,0.000459985
57,13929,1.11663,0.59718,1.30381,0.91792,0.9008,0.95371,0.64872,1.12275,0.80168,1.38181,0.000428093,0.000428093,0.000428093
58,14160.7,1.11036,0.60051,1.30399,0.91693,0.89895,0.95431,0.65034,1.12109,0.80854,1.38708,0.000397097,0.000397097,0.000397097
59,14392.3,1.107,0.60444,1.30672,0.91956,0.89943,0.95508,0.65283,1.11427,0.81087,1.37978,0.000367046,0.000367046,0.000367046
60,14624,1.10535,0.59986,1.30293,0.91768,0.8989,0.95203,0.64965,1.11909,0.80613,1.38458,0.000337987,0.000337987,0.000337987
61,14855.6,1.10318,0.58779,1.29885,0.92013,0.89963,0.95327,0.65232,1.11252,0.79907,1.37708,0.000309964,0.000309964,0.000309964
62,15087.4,1.09297,0.59344,1.29788,0.9155,0.90349,0.95353,0.65361,1.11519,0.79499,1.37981,0.000283021,0.000283021,0.000283021
63,15321.4,1.10032,0.58198,1.30519,0.91853,0.90136,0.95376,0.65163,1.1165,0.78764,1.38578,0.000257198,0.000257198,0.000257198
64,15554,1.09061,0.57811,1.30242,0.91621,0.90223,0.9538,0.65413,1.10872,0.79018,1.38222,0.000232536,0.000232536,0.000232536
65,15786.6,1.08464,0.58508,1.29348,0.91776,0.90281,0.95367,0.65302,1.11469,0.78403,1.38218,0.000209073,0.000209073,0.000209073
66,16018.1,1.08117,0.58065,1.28444,0.91538,0.9047,0.95343,0.65388,1.10746,0.78696,1.37441,0.000186845,0.000186845,0.000186845
67,16250.3,1.08415,0.5665,1.28332,0.9149,0.90381,0.9537,0.65179,1.11346,0.78319,1.38114,0.000165886,0.000165886,0.000165886
68,16482.3,1.08701,0.57171,1.29168,0.91703,0.90153,0.95352,0.65484,1.10377,0.7766,1.37922,0.000146229,0.000146229,0.000146229
69,16715.1,1.08319,0.57063,1.28719,0.91662,0.90381,0.95436,0.65425,1.1037,0.7848,1.37245,0.000127904,0.000127904,0.000127904
70,16947.4,1.07898,0.57945,1.29233,0.92051,0.90082,0.95399,0.65451,1.10874,0.77744,1.37772,0.000110938,0.000110938,0.000110938
71,17175.2,1.0674,0.65673,1.32934,0.91354,0.90777,0.95486,0.65509,1.10731,0.77651,1.37597,9.53593e-05,9.53593e-05,9.53593e-05
72,17402.4,1.06359,0.651,1.32591,0.91566,0.90592,0.95421,0.65537,1.10465,0.77474,1.37859,8.11906e-05,8.11906e-05,8.11906e-05
73,17631.4,1.05552,0.64594,1.32097,0.91453,0.90578,0.95463,0.65503,1.1086,0.77831,1.38194,6.8454e-05,6.8454e-05,6.8454e-05
74,17858.3,1.04524,0.63427,1.31763,0.91768,0.90238,0.95448,0.65555,1.10509,0.77764,1.37781,5.71693e-05,5.71693e-05,5.71693e-05
75,18085.5,1.05488,0.62935,1.32004,0.91958,0.90121,0.95461,0.65625,1.10444,0.76897,1.37679,4.73538e-05,4.73538e-05,4.73538e-05
76,18313.4,1.0404,0.64058,1.32143,0.91751,0.90332,0.95458,0.65607,1.10379,0.77382,1.37632,3.90226e-05,3.90226e-05,3.90226e-05
77,18540.4,1.04959,0.63178,1.31471,0.91529,0.90447,0.95463,0.65632,1.1026,0.77603,1.37511,3.21885e-05,3.21885e-05,3.21885e-05
78,18768.3,1.05118,0.64077,1.33095,0.91457,0.90586,0.95474,0.65588,1.10133,0.77679,1.3734,2.68622e-05,2.68622e-05,2.68622e-05
79,18995.7,1.04824,0.63518,1.31763,0.91789,0.90137,0.95452,0.65634,1.10123,0.77185,1.37338,2.30518e-05,2.30518e-05,2.30518e-05
80,19223,1.04264,0.62447,1.31297,0.9164,0.90425,0.9546,0.65551,1.10236,0.77268,1.37496,2.07633e-05,2.07633e-05,2.07633e-05
